name,run.no.in.std.order,run.no,run.no.std.rp,environment,sizeexp,Blocks,time
498,48,498,48.8,native,15,.8,
499,42,499,42.8,native,13,.8,
500,35,500,35.8,singularity,11,.8,
501,25,501,25.8,docker,8,.8,
502,51,502,51.8,native,16,.8,
503,46,503,46.8,docker,15,.8,
504,63,504,63.8,native,20,.8,
505,39,505,39.9,native,12,.9,
506,62,506,62.9,singularity,20,.9,
507,4,507,4.9,docker,1,.9,
508,10,508,10.9,docker,3,.9,
509,27,509,27.9,native,8,.9,
510,13,510,13.9,docker,4,.9,
511,41,511,41.9,singularity,13,.9,
512,58,512,58.9,docker,19,.9,
513,24,513,24.9,native,7,.9,
514,63,514,63.9,native,20,.9,
515,12,515,12.9,native,3,.9,
516,32,516,32.9,singularity,10,.9,
517,49,517,49.9,docker,16,.9,
518,20,518,20.9,singularity,6,.9,
519,35,519,35.9,singularity,11,.9,
520,21,520,21.9,native,6,.9,
521,30,521,30.9,native,9,.9,
522,37,522,37.9,docker,12,.9,
523,25,523,25.9,docker,8,.9,
524,8,524,8.9,singularity,2,.9,
525,28,525,28.9,docker,9,.9,
526,34,526,34.9,docker,11,.9,
527,60,527,60.9,native,19,.9,
528,61,528,61.9,docker,20,.9,
529,17,529,17.9,singularity,5,.9,
530,46,530,46.9,docker,15,.9,
531,50,531,50.9,singularity,16,.9,
532,43,532,43.9,docker,14,.9,
533,2,533,2.9,singularity,0,.9,
534,56,534,56.9,singularity,18,.9,
535,7,535,7.9,docker,2,.9,
536,42,536,42.9,native,13,.9,
537,51,537,51.9,native,16,.9,
538,53,538,53.9,singularity,17,.9,
539,57,539,57.9,native,18,.9,
540,55,540,55.9,docker,18,.9,
541,16,541,16.9,docker,5,.9,
542,23,542,23.9,singularity,7,.9,
543,54,543,54.9,native,17,.9,
544,29,544,29.9,singularity,9,.9,
545,5,545,5.9,singularity,1,.9,
546,11,546,11.9,singularity,3,.9,
547,15,547,15.9,native,4,.9,
548,59,548,59.9,singularity,19,.9,
549,19,549,19.9,docker,6,.9,
550,6,550,6.9,native,1,.9,
551,45,551,45.9,native,14,.9,
552,47,552,47.9,singularity,15,.9,
553,36,553,36.9,native,11,.9,
554,38,554,38.9,singularity,12,.9,
555,26,555,26.9,singularity,8,.9,
556,14,556,14.9,singularity,4,.9,
557,31,557,31.9,docker,10,.9,
558,40,558,40.9,docker,13,.9,
559,48,559,48.9,native,15,.9,
560,18,560,18.9,native,5,.9,
561,52,561,52.9,docker,17,.9,
562,9,562,9.9,native,2,.9,
563,1,563,1.9,docker,0,.9,
564,22,564,22.9,docker,7,.9,
565,3,565,3.9,native,0,.9,
566,44,566,44.9,singularity,14,.9,
567,33,567,33.9,native,10,.9,
568,11,568,11.10,singularity,3,.10,
569,37,569,37.10,docker,12,.10,
570,44,570,44.10,singularity,14,.10,
571,16,571,16.10,docker,5,.10,
572,30,572,30.10,native,9,.10,
573,15,573,15.10,native,4,.10,
574,41,574,41.10,singularity,13,.10,
575,50,575,50.10,singularity,16,.10,
576,25,576,25.10,docker,8,.10,
577,29,577,29.10,singularity,9,.10,
578,23,578,23.10,singularity,7,.10,
579,24,579,24.10,native,7,.10,
580,42,580,42.10,native,13,.10,
581,7,581,7.10,docker,2,.10,
582,48,582,48.10,native,15,.10,
583,46,583,46.10,docker,15,.10,
584,31,584,31.10,docker,10,.10,
585,57,585,57.10,native,18,.10,
586,33,586,33.10,native,10,.10,
587,12,587,12.10,native,3,.10,
588,62,588,62.10,singularity,20,.10,
589,18,589,18.10,native,5,.10,
590,39,590,39.10,native,12,.10,
591,5,591,5.10,singularity,1,.10,
592,13,592,13.10,docker,4,.10,
593,63,593,63.10,native,20,.10,
594,55,594,55.10,docker,18,.10,
595,10,595,10.10,docker,3,.10,
596,26,596,26.10,singularity,8,.10,
597,54,597,54.10,native,17,.10,
598,1,598,1.10,docker,0,.10,
599,53,599,53.10,singularity,17,.10,
600,35,600,35.10,singularity,11,.10,
601,4,601,4.10,docker,1,.10,
602,51,602,51.10,native,16,.10,
603,49,603,49.10,docker,16,.10,
604,59,604,59.10,singularity,19,.10,
605,14,605,14.10,singularity,4,.10,
606,38,606,38.10,singularity,12,.10,
607,52,607,52.10,docker,17,.10,
608,9,608,9.10,native,2,.10,
609,43,609,43.10,docker,14,.10,
610,47,610,47.10,singularity,15,.10,
611,3,611,3.10,native,0,.10,
612,2,612,2.10,singularity,0,.10,
613,20,613,20.10,singularity,6,.10,
614,8,614,8.10,singularity,2,.10,
615,45,615,45.10,native,14,.10,
616,56,616,56.10,singularity,18,.10,
617,58,617,58.10,docker,19,.10,
618,6,618,6.10,native,1,.10,
619,32,619,32.10,singularity,10,.10,
620,34,620,34.10,docker,11,.10,
621,22,621,22.10,docker,7,.10,
622,60,622,60.10,native,19,.10,
623,27,623,27.10,native,8,.10,
624,61,624,61.10,docker,20,.10,
625,28,625,28.10,docker,9,.10,
626,17,626,17.10,singularity,5,.10,
627,19,627,19.10,docker,6,.10,
628,36,628,36.10,native,11,.10,
629,40,629,40.10,docker,13,.10,
630,21,630,21.10,native,6,.10,
