size,time,environment
32768,1.04951859,native
32768,0.79941750,native
32768,0.91242790,native
32768,0.76436996,native
32768,0.92267990,native
32768,0.80657005,native
32768,0.86498260,native
32768,0.81634521,native
32768,0.86569786,native
65536,1.10673904,native
65536,1.40070915,native
65536,1.46150589,native
65536,1.21331215,native
65536,1.22404099,native
65536,0.97298622,native
65536,1.32656097,native
65536,0.99015236,native
65536,1.33323669,native
65536,0.97322464,native
65536,1.33156776,native
65536,0.97298622,native
65536,1.33061409,native
65536,0.97203255,native
65536,1.32346153,native
65536,0.98991394,native
65536,1.33156776,native
65536,0.97227097,native
65536,1.19543076,native
65536,0.98752975,native
131072,1.67632103,native
131072,2.21085548,native
131072,1.83176994,native
131072,2.08353996,native
131072,1.78718567,native
131072,2.10905075,native
131072,1.80268288,native
131072,2.56204605,native
131072,1.88708305,native
131072,2.47001648,native
131072,1.83439255,native
131072,2.21776962,native
131072,1.85775757,native
131072,1.57976151,native
131072,1.75309181,native
131072,1.89113617,native
131072,2.33197212,native
131072,1.75356865,native
131072,1.76358223,native
262144,2.94709206,native
262144,3.54766846,native
262144,2.86149979,native
262144,2.91228294,native
262144,2.77614594,native
262144,3.12757492,native
262144,3.07083130,native
262144,3.57317924,native
262144,2.81500816,native
262144,2.84719467,native
262144,3.09348106,native
262144,3.57580185,native
262144,3.09181213,native
262144,3.06916237,native
262144,3.16667557,native
262144,2.59995461,native
262144,3.17192078,native
262144,2.57277489,native
262144,2.79903412,native
262144,3.01337242,native
524288,5.07330894,native
524288,4.83345985,native
524288,5.20515442,native
524288,5.30338287,native
524288,5.33056259,native
524288,5.56397438,native
524288,4.98080254,native
524288,5.19728661,native
524288,5.18870354,native
524288,5.35297394,native
524288,5.06305695,native
524288,5.39541245,native
524288,5.08141518,native
524288,5.75923920,native
524288,5.18035889,native
524288,5.34582138,native
524288,5.13458252,native
524288,5.34892082,native
524288,5.24139404,native
524288,4.93240356,native
1048576,9.77420807,native
1048576,9.84406471,native
1048576,9.60898399,native
1048576,9.95779037,native
1048576,9.82856750,native
1048576,9.64236259,native
1048576,9.45019722,native
1048576,9.98377800,native
1048576,9.68647003,native
1048576,10.07676125,native
1048576,9.57441330,native
1048576,9.88626480,native
1048576,9.68861580,native
1048576,10.04934311,native
1048576,9.71364975,native
1048576,9.66119766,native
1048576,9.64689255,native
1048576,9.53745842,native
1048576,9.59825516,native
1048576,9.98783112,native
1,0.29468536,singularity
1,0.31304359,singularity
1,0.27394295,singularity
1,0.35190582,singularity
1,0.32210350,singularity
1,0.28681755,singularity
1,0.27394295,singularity
1,0.42629242,singularity
1,0.20885468,singularity
1,0.33593178,singularity
1,0.29492378,singularity
1,0.30755997,singularity
1,0.27275085,singularity
1,0.34904480,singularity
1,0.27322769,singularity
1,0.39887428,singularity
1,0.27489662,singularity
1,0.42510033,singularity
1,0.24294853,singularity
1,0.37741661,singularity
2,0.29659271,singularity
2,0.29230118,singularity
2,0.32305717,singularity
2,0.29301643,singularity
2,0.27465820,singularity
2,0.37765503,singularity
2,0.25558472,singularity
2,0.31638145,singularity
2,0.29945374,singularity
2,0.30183792,singularity
2,0.31185150,singularity
2,0.30517578,singularity
2,0.27680397,singularity
2,0.38099289,singularity
2,0.28133392,singularity
2,0.30732155,singularity
2,0.26178360,singularity
2,0.29659271,singularity
2,0.27108192,singularity
2,0.35023689,singularity
4,0.24867058,singularity
4,0.35929680,singularity
4,0.26988983,singularity
4,0.37789345,singularity
4,0.25558472,singularity
4,0.34832954,singularity
4,0.28133392,singularity
4,0.38242340,singularity
4,0.26392937,singularity
4,0.30946732,singularity
4,0.22435188,singularity
4,0.33473969,singularity
4,0.27561188,singularity
4,0.28443336,singularity
4,0.32043457,singularity
4,0.28514862,singularity
4,0.26988983,singularity
4,0.37455559,singularity
