MPI-2 passive ping-pong latency test, performing 10 rounds at each xfer size.
 1048576 bytes,   9.70673561 ms
 1048576 bytes,   9.86003876 ms
 1048576 bytes,   9.65929031 ms
 1048576 bytes,   9.68408585 ms
 1048576 bytes,   9.67383385 ms
 1048576 bytes,  10.17403603 ms
 1048576 bytes,   9.77587700 ms
 1048576 bytes,   9.85789299 ms
 1048576 bytes,   9.73033905 ms
 1048576 bytes,   9.57751274 ms
 1048576 bytes,   9.48238373 ms
 1048576 bytes,   9.74655151 ms
